sl,sr,el,er,hl,hr,kl,kr
107.94966002198322,95.37886228609628,175.38701326559345,179.76360551641562,135.53591146110696,139.67934388742614,174.15008018701883,177.9688862696339
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
