sl,sr,el,er,hl,hr,kl,kr
157.52397505878474,143.25867681434394,75.9985270600017,74.21342171247048,168.99918815120577,104.52940815871591,163.22229695183694,30.44128659440483
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
